z,XCH4,XCO,XCO2,XH2,XH2O,XO2,Tboth,Tgas,Tsolid
0.0191191,0.4993908,0,0.5006092,0,0,0,907.8064,909.181,905.0244
0.0198198,0.4993908,0,0.5006092,0,0,0,907.2977,909.0223,904.4737
0.0205205,0.4993908,0,0.5006092,0,0,0,906.7317,908.7722,903.8726
0.0212212,0.4993908,0,0.5006092,0,0,0,906.1666,908.5096,903.1983
0.0219219,0.4993908,0,0.5006092,0,0,0,905.6143,908.1946,902.5059
0.02262261,0.4993908,0,0.5006092,0,0,0,905.1354,907.9019,901.8059
0.02332331,0.4993908,0,0.5006092,0,0,0,904.7075,907.5734,901.0927
0.02402401,0.4993908,0,0.5006092,0,0,0,904.4049,907.3307,900.3369
0.02472471,0.4993908,0,0.5006092,0,0,0,904.1329,906.9993,899.494
0.02542541,0.4993908,0,0.5006092,0,0,0,903.851,906.8341,898.6785
0.02612611,0.4993908,0,0.5006092,0,0,0,903.4805,906.4795,898.001
0.02682681,0.4993908,0,0.5006092,0,0,0,903.1043,905.8708,897.3798
0.02752751,0.4993908,0,0.5006092,0,0,0,902.7047,905.3306,897.4936
0.02822821,0.4993908,0,0.5006092,0,0,0,902.3244,904.615,897.7292
0.02892891,0.4993908,0,0.5006092,0,0,0,901.989,903.8069,898.1525
0.02962961,0.4993908,0,0.5006092,0,0,0,901.7889,903.5581,898.4458
0.03033031,0.4993908,0,0.5006092,0,0,0,901.6059,903.011,899.021
0.03103101,0.4993908,0,0.5006092,0,0,0,901.4246,903.0607,898.8393
0.03173171,0.4993908,0,0.5006092,0,0,0,901.2973,903.3461,898.4756
0.03243241,0.4993908,0,0.5006092,0,0,0,901.1214,903.4827,898.1356
0.03313311,0.4993908,0,0.5006092,0,0,0,901.0022,903.6187,897.8058
0.03383381,0.4993908,0,0.5006092,0,0,0,900.8497,903.577,897.4674
0.03453452,0.4993908,0,0.5006092,0,0,0,900.7101,903.4376,897.1014
0.03523522,0.4993908,0,0.5006092,0,0,0,900.5368,903.1331,896.6835
0.03593592,0.4993908,0,0.5006092,0,0,0,900.2264,902.5412,896.1538
0.03663662,0.4993908,0,0.5006092,0,0,0,899.8484,902.1311,895.5264
0.03733732,0.4993908,0,0.5006092,0,0,0,899.6047,902.0104,894.7013
0.03803802,0.4993908,0,0.5006092,0,0,0,899.5034,902.0963,894.1039
0.03873872,0.4993908,0,0.5006092,0,0,0,899.2958,901.9603,893.9459
0.03943942,0.4993908,0,0.5006092,0,0,0,898.9721,901.4632,893.8726
0.04014012,0.4993908,0,0.5006092,0,0,0,898.5391,900.9563,893.8574
0.04084082,0.4993908,0,0.5006092,0,0,0,898.2279,900.6644,893.9229
0.04154152,0.4993908,0,0.5006092,0,0,0,898.1048,900.4083,894.0657
0.04224222,0.4993908,0,0.5006092,0,0,0,897.9434,900.8253,893.6981
0.04294292,0.4993908,0,0.5006092,0,0,0,897.587,900.869,893.3085
0.04364362,0.4993908,0,0.5006092,0,0,0,897.2407,900.829,892.8816
0.04434432,0.4993908,0,0.5006092,0,0,0,896.8984,900.647,892.4389
0.04504502,0.4993908,0,0.5006092,0,0,0,896.614,900.4065,891.9743
0.04574572,0.4993908,0,0.5006092,0,0,0,896.3281,899.9859,891.4931
0.04644643,0.4993908,0,0.5006092,0,0,0,896.0426,899.3997,890.9979
0.04714713,0.4993908,0,0.5006092,0,0,0,895.7575,898.6868,890.4618
0.04784783,0.4993908,0,0.5006092,0,0,0,895.4203,898.0461,890.4164
0.04854853,0.4993908,0,0.5006092,0,0,0,895.1025,897.4043,890.2937
0.04924923,0.4993908,0,0.5006092,0,0,0,894.7692,896.8152,890.3843
0.04994993,0.4993908,0,0.5006092,0,0,0,894.5743,896.4409,890.6552
0.05065063,0.4993908,0,0.5006092,0,0,0,894.5496,896.1906,890.9758
0.05135133,0.4993908,0,0.5006092,0,0,0,894.6929,896.2803,891.3111
0.05205203,0.4993908,0,0.5006092,0,0,0,894.9763,896.6894,891.594
0.05275273,0.4993908,0,0.5006092,0,0,0,894.8489,896.6891,891.5927
0.05345343,0.4993908,0,0.5006092,0,0,0,894.5318,896.8013,891.1616
0.05415413,0.4993908,0,0.5006092,0,0,0,894.0859,896.7173,890.6199
0.05485483,0.4993908,0,0.5006092,0,0,0,893.501,896.3603,889.9853
0.05555553,0.4993908,0,0.5006092,0,0,0,892.967,896.0309,889.2699
0.05625623,0.4993908,0,0.5006092,0,0,0,892.4086,895.5504,888.499
0.05695693,0.4993908,0,0.5006092,0,0,0,891.9791,895.148,887.7063
0.05765764,0.4993908,0,0.5006092,0,0,0,891.6275,894.6956,886.9114
0.05835834,0.4993908,0,0.5006092,0,0,0,891.3766,894.2003,886.1349
0.05905904,0.4993908,0,0.5006092,0,0,0,891.1033,893.5159,885.3068
0.05975974,0.4993908,0,0.5006092,0,0,0,890.9108,893.0132,884.7284
0.06046044,0.4993908,0,0.5006092,0,0,0,891.0161,893.196,884.9932
0.06116114,0.4993908,0,0.5006092,0,0,0,891.049,893.2065,885.4535
0.06186184,0.4993908,0,0.5006092,0,0,0,890.8629,892.7944,885.8662
0.06256254,0.4993908,0,0.5006092,0,0,0,890.5101,892.0688,886.239
0.06326324,0.4993908,0,0.5006092,0,0,0,890.0949,891.2212,886.716
0.06396394,0.4993908,0,0.5006092,0,0,0,889.9754,891.4473,886.3261
0.06466464,0.4993908,0,0.5006092,0,0,0,890.0958,892.3544,885.7982
0.06536534,0.4993908,0,0.5006092,0,0,0,889.8581,892.6411,885.5014
0.06606604,0.4993908,0,0.5006092,0,0,0,889.4702,892.5662,885.2449
0.06676674,0.4993908,0,0.5006092,0,0,0,888.9632,892.1588,884.9594
0.06746744,0.4993908,0,0.5006092,0,0,0,888.5168,891.7637,884.5886
0.06816814,0.4993908,0,0.5006092,0,0,0,888.0365,891.2342,884.1125
0.06886884,0.4993908,0,0.5006092,0,0,0,887.5105,890.5455,883.5381
0.06956955,0.4993908,0,0.5006092,0,0,0,886.9826,889.7895,882.8623
0.07027025,0.4993908,0,0.5006092,0,0,0,886.6316,889.2231,882.1268
0.07097095,0.4993908,0,0.5006092,0,0,0,886.4156,888.9879,881.3678
